city,temperature
Erode,31°C
Mohali,34°C
Tiruppur,31°C
Etawah,35°C
Moradabad,34°C
Tiruvalla,30°C
Faridabad,37°C
Morena,35°C
Tiruvallur,30°C
Farrukhnagar,37°C
Mudigere,25°C
Tonk,32°C
Fatehgarh Sahib,34°C
Mumbai,32°C
Tuipang,29°C
Fatehpur,34°C
Mussoorie,31°C
Udhampur,34°C
Fazilka,35°C
Muzaffarpur,37°C
Udupi,24°C
Firozpur,34°C
Nabarangpur,29°C
Ujjain,30°C
Gajapathinagaram,30°C
Nadiad,37°C
Ukhrul,26°C
Gandhidham,33°C
Nagaon,29°C
Ulhasnagar,32°C
Gandhinagar,37°C
Nagercoil,29°C
Unnao,34°C
Gangtok,9°C
NÃ£gpur,29°C
Urapakkam,31°C
Gaya,37°C
Nahan,31°C
Vallabh Vidhyanagar,42°C
Ghatshila,36°C
Nalanda,37°C
Valsad,34°C
Ghaziabad,35°C
Nalbari,30°C
Varanasi,36°C
Gondal,33°C
Nalgonda,34°C
Vasai-Virar,32°C
Gorakhpur,36°C
Namakkal,27°C
Vasco da Gama,26°C
Greater Noida,35°C
Nandura,34°C
Vedaranyam,29°C
Gudalur (Theni),30°C
Narsinghpur,32°C
Veraval,32°C
Gudur,30°C
Naugarh,36°C
Vidisha,32°C
Gulmarg,17°C
Navi Mumbai,32°C
Vijapura,25°C
Gumla,32°C
Navsari,32°C
Vijayawada,29°C
Guna,34°C
Nawada,37°C
Viluppuram,29°C
Guntur,29°C
Nawanshahr,34°C
Visakhapatnam,30°C
Gurdaspur,32°C
Nayagarh,31°C
Warangal,33°C
Gurgaon,37°C
Nellore,30°C
Wardha,29°C
